"timescale","net","obs","sub_lo","sub_hi","null_lo","null_hi"
5.58454701877694,"601-2",0.0919329093519828,0.0957414048188905,0.24252649951082,0.0665485749242318,0.113726886057636
5.79498356800364,"601-2",0.0898555792072564,0.0936824157857218,0.241109167545402,0.064632577715525,0.112032841030867
6.01334977403179,"601-2",0.0878804913147505,0.091726183043991,0.239776864074046,0.0629070969769896,0.110466402309819
6.23994444168982,"601-2",0.0860009551897755,0.0898635976561348,0.238558204675555,0.0613276772165708,0.10897298010871
6.47507763535091,"601-2",0.0842107485591627,0.0880911111960123,0.237468955467079,0.0598629147229285,0.107517709689547
6.71907110321443,"601-2",0.0825041083590743,0.086402933454331,0.236442903478901,0.0585228243876255,0.106205934773576
6.97225871757513,"601-2",0.0808757152851566,0.0847937197082237,0.235475499455522,0.057266785428881,0.105046510038872
7.23498693168257,"601-2",0.0793206730181869,0.0832585556400584,0.234544692230152,0.0561617263632568,0.103923298655712
7.50761525381585,"601-2",0.0778344833047722,0.0817929379353742,0.233603956664724,0.0551222410452106,0.102901679127855
7.79051673922241,"601-2",0.0764130180886592,0.0803927515612717,0.232743752959589,0.0542383147686315,0.10208214980815
8.08407850059403,"601-2",0.0750524898642934,0.0790542447153277,0.231937441636145,0.0534309906372213,0.101337428667
8.3887022377786,"601-2",0.0737494213625051,0.0777740023915905,0.231177057878406,0.052686547813979,0.100650859298886
8.70480478745237,"601-2",0.0725006155821533,0.0765489194368917,0.230460415888464,0.0520093784078609,0.0999992163595279
9.03281869350499,"601-2",0.071303127056215,0.0753761738713894,0.229785552343192,0.0514107230317606,0.099411213646053
9.37319279891774,"601-2",0.0701542350923226,0.0742532011268823,0.22915069437307,0.0508713652628724,0.0988816670370615
9.72639285994486,"601-2",0.0690514195631726,0.0732141397625899,0.228554228700747,0.050398540769722,0.0984071527777296
10.0929021834384,"601-2",0.067992339649134,0.0721733799512536,0.227994672494271,0.0499913097940107,0.0979834055636268
10.473222288189,"601-2",0.0669748157614804,0.0711717492619306,0.227470646382771,0.0496281160632018,0.0976063624643558
10.8678735911864,"601-2",0.0659968147073622,0.0702086279041929,0.226980849973658,0.049311748721469,0.0972721583757039
11.2773961197409,"601-2",0.0650564380036305,0.0692877937186677,0.22652404010503,0.0490437890349858,0.0969770178995346
11.7023502504379,"601-2",0.0641519131115982,0.068439989460116,0.226099011968753,0.0488146265878947,0.0967121266327724
12.1433174759379,"601-2",0.0632815872531402,0.0676143146604007,0.22570458315197,0.0486094756131271,0.0964809557032835
12.6009012006713,"601-2",0.0624439233830914,0.0668209602406656,0.225339580569488,0.0484485739457453,0.0962802275339257
13.0757275665162,"601-2",0.0616374978350981,0.0660625108161021,0.225002830197714,0.0482981959989355,0.0961069306809941
13.5684463095896,"601-2",0.0608609991278512,0.0653379550074601,0.22469314947227,0.0481712283604625,0.0959581500687881
14.079731649324,"601-2",0.0601132274146556,0.0646463702915713,0.224409342175413,0.0480668241656825,0.0958311612250345
14.6102832110459,"601-2",0.05939309407916,0.0639869141128712,0.224150195614005,0.0479776334372596,0.0957249129544827
15.1608269833196,"601-2",0.058699621020601,0.063358814860175,0.223914479872171,0.0479041273780583,0.0956363800574263
15.7321163113646,"601-2",0.058031939229415,0.0627613625344337,0.223700948912747,0.0478452055939847,0.09556006316497
16.3249329279076,"601-2",0.0573892863245677,0.0621938990072584,0.223508343296071,0.0477979203117203,0.0954965208669435
16.9400880228787,"601-2",0.0567710028034628,0.061655807846776,0.223335394282,0.0477594167098939,0.0954439439096058
17.5784233534159,"601-2",0.0561765268399295,0.0611465037620951,0.223180829079988,0.047727571447837,0.0954008099222979
18.2408123956965,"601-2",0.0556053875519385,0.0606654217860424,0.223043377011928,0.0477020664950372,0.0953656915006693
18.9281615401725,"601-2",0.0550571967450143,0.0602120063743146,0.222921776353131,0.047682011673787,0.0953373252975756
19.6414113318434,"601-2",0.054531639216841,0.0597857006450053,0.222814781618473,0.0476664543405068,0.0953146019065729
20.3815377572667,"601-2",0.0540284617806731,0.0593859360137477,0.222721171064143,0.0476546731833246,0.0952965550817013
21.1495535800634,"601-2",0.0535474612276593,0.0590078420999243,0.222639754181168,0.0476450802442295,0.0952823504751203
21.9465097267499,"601-2",0.0530884714992401,0.058654574341302,0.222569378966031,0.0476379127202881,0.0952712740854794
22.7734967247891,"601-2",0.0526513503790268,0.0583272655635174,0.222508938766769,0.0476327659637016,0.095262720614086
23.6316461948315,"601-2",0.0522359660381285,0.058025013045262,0.222457378520609,0.0476288617244247,0.0952561819227357
24.5221323991854,"601-2",0.0518421837783899,0.0577468836023169,0.222413700221578,0.0476260321490688,0.0952512357766863
25.4461738486377,"601-2",0.0514698533146189,0.0574919111175901,0.222376967483544,0.0476239602537279,0.0952475350393044
26.4050349698218,"601-2",0.0511187969203452,0.0572590955208471,0.22234630909522,0.0476224609463355,0.0952447974623932
27.4000278354163,"601-2",0.0507887987332066,0.0570474032761396,0.222320921497962,0.0476213892327889,0.0952427961894191
28.4325139595394,"601-2",0.050479595477401,0.0568557693821157,0.222300070153548,0.0476206331244957,0.095241351059327
29.5039061607991,"601-2",0.0501908688138543,0.0566831008369169,0.222283089806002,0.0476200961153346,0.0952403207679858
30.6156704955448,"601-2",0.0499222394761125,0.0565282814674956,0.222269383677571,0.0476197253909192,0.095239595914136
31.7693282639694,"601-2",0.0496732632938923,0.0563901779751184,0.222258421672323,0.0476194788843597,0.0952390929285165
32.9664580918035,"601-2",0.0494434291490644,0.0562676470065295,0.222249737690229,0.0476193175714938,0.0952387488598482
34.2086980904535,"601-2",0.0492321588527952,0.0561595430254562,0.222242926178548,0.0476192137455093,0.0952385169705045
35.4977480985362,"601-2",0.0490388088795512,0.0560647267332324,0.222237638064927,0.0476191491615813,0.0952383630785893
36.8353720078807,"601-2",0.0488626738452561,0.0559820737713016,0.222233576227131,0.0476191078018067,0.0952382625719894
38.2234001771767,"601-2",0.0487029915743017,0.0559104834328087,0.222230490657588,0.0476190825799653,0.0952381980136591
39.6637319365748,"601-2",0.0485589495641776,0.0558488871155276,0.222228173477139,0.0476190675295591,0.0952381573557537
